##############
# CLUSTER 41 #
##############

attribute prevalence  =   1004 / 110100 = 0.009119
                            project management        157    0.000250
                                           ged        139    0.000222
                                   programming        129    0.000206
                                        m.b.a.        126    0.000201
                              senior secondary        125    0.000199
                                            hs        118    0.000188
                                         s.s.c        104    0.000166
                             master of science         94    0.000150
                                    e-business         91    0.000145
                                 computer engg         90    0.000144
                                  pharmacology         87    0.000139
                                    technology         82    0.000131
 bachelor of science in information technology         65    0.000104
                  electronics & communications         63    0.000101
                                         h.s.c         51    0.000081
             università degli studi di bologna         36    0.000057
                               english studies         31    0.000049
                           textile engineering         25    0.000040
                            applied statistics         24    0.000038
                               theatre studies         19    0.000030
                   economics, computer science         18    0.000029
                        electronics technician         18    0.000029
                                        jd/mba         17    0.000027
             information science & engineering         16    0.000026
                                creative media         15    0.000024
                                           abi         14    0.000022
   master of science in information technology         14    0.000022
                                     bsc in it         13    0.000021
                           japanese literature         13    0.000021
                                    it support         12    0.000019
                    bachelor, computer science         11    0.000018
                                            du         11    0.000018


##############
# CLUSTER 59 #
##############

attribute prevalence  =    812 / 110100 = 0.007375
occurrence prevalence =  13895 / 626862 = 0.022166

                        attribute  frequency  prevalence
            aerospace engineering       1189    0.001897
                     biochemistry       1136    0.001812
              high school diploma        694    0.001107
                    digital media        542    0.000865
                     illustration        489    0.000780
                             life        437    0.000697
                         politics        320    0.000510
               business economics        318    0.000507
                    media studies        310    0.000495
                    public health        297    0.000474
                  film production        294    0.000469
                            maths        251    0.000400
                             havo        244    0.000389
                computing science        237    0.000378
                software engineer        224    0.000357
                molecular biology        209    0.000333
                      cosmetology        185    0.000295
                 bachelor of arts        181    0.000289
                actuarial science        164    0.000262
                music composition        160    0.000255
                   social science        154    0.000246
           network administration        153    0.000244
                       hs diploma        152    0.000242
         mechatronics engineering        146    0.000233
                  pre-engineering        135    0.000215
                       general ed        132    0.000211
                interactive media        129    0.000206
   molecular and cellular biology        125    0.000199
                           gcse's        124    0.000198
           accounting and finance        123    0.000196
 computer science and mathematics        122    0.000195
