##############
# CLUSTER 39 #
##############

attribute prevalence  =   1062 / 246973 = 0.004300
                             school of visual arts        353    0.000380
                             university of calgary        345    0.000372
                            university of maryland        340    0.000366
                               wesleyan university        323    0.000348
                        university of rhode island        258    0.000278
                             penn state university        244    0.000263
                                               usc        237    0.000255
                                colgate university        193    0.000208
                                     colby college        115    0.000124
                                             uconn         28    0.000030
                                        nhtv breda         11    0.000012
                          south east essex college          6    0.000006
                               cumbernauld college          4    0.000004
                               east surrey college          4    0.000004
                              the peninsula school          4    0.000004
                                aoraki polytechnic          3    0.000003
 faculdade de belas artes da universidade de li...          3    0.000003
                             pine bush high school          3    0.000003
                                              tuks          3    0.000003
                                              ulht          3    0.000003
                         universidad contemporánea          3    0.000003
                                viby amtsgymnasium          3    0.000003
                       american academy in tbilisi          2    0.000002
                            ardee community school          2    0.000002
                        berlin school of economics          2    0.000002
                         binary university college          2    0.000002
                                     de rietlanden          2    0.000002
                                               dgc          2    0.000002
                                    escola da apel          2    0.000002
                                            euetib          2    0.000002
                              fena business school          2    0.000002
                                        fh ansbach          2    0.000002
                                  fioretti college          2    0.000002
                         gd goenka world institute          2    0.000002
                          girls' high school,kandy          2    0.000002
                                    halgaard skole          2    0.000002


#############
# CLUSTER 5 #
#############

attribute prevalence  =   6325 / 246973 = 0.025610
occurrence prevalence =  13723 / 928097 = 0.014786

                                 attribute  frequency  prevalence
          universidad carlos iii de madrid        171    0.000184
         universidad complutense de madrid        171    0.000184
                    universidad de sevilla        169    0.000182
                   universidad de alicante        168    0.000181
                     universidad de oviedo        158    0.000170
          universidad nacional de la plata        149    0.000161
                    universidad de granada        136    0.000147
         universidad politécnica de madrid        127    0.000137
       universidad politécnica de valencia        121    0.000130
                  universitat de barcelona        118    0.000127
           universitat oberta de catalunya        117    0.000126
         universitat autònoma de barcelona        115    0.000124
                    universidad de palermo        113    0.000122
                                      uned        104    0.000112
                     universidad de málaga        102    0.000110
            universidad autónoma de madrid         99    0.000107
                 universidad de valladolid         95    0.000102
                     universidad de murcia         93    0.000100
               universidad rey juan carlos         86    0.000093
                  universidad de la laguna         81    0.000087
         universidad católica andrés bello         80    0.000086
 universidad de las palmas de gran canaria         79    0.000085
                                       uab         74    0.000080
                                     unefa         74    0.000080
                  universidad de salamanca         72    0.000078
                   university of barcelona         68    0.000073
                   universitat de valència         66    0.000071
                   universidad de valencia         64    0.000069
                                       ucv         62    0.000067
                       universidad de jaén         60    0.000065
                    universidad de navarra         57    0.000061
                   universidad de zaragoza         57    0.000061
        autonomous university of barcelona         55    0.000059
           universidad nacional de rosario         53    0.000057
                    universidad de córdoba         51    0.000055
                                       uoc         49    0.000053
                     universidad de deusto         47    0.000051
                                       upm         46    0.000050
               universidad rafael landivar         45    0.000048
                                     esade         44    0.000047
                        ie business school         42    0.000045
       universidad pontificia de salamanca         41    0.000044
                                       upv         41    0.000044
                      university of murcia         40    0.000043
            university of rovira i virgili         38    0.000041
                  university of valladolid         38    0.000041
                  universidad de cantabria         37    0.000040
                                      esic         34    0.000037
                    universidad de almería         34    0.000037
                      universidad de morón         34    0.000037


#############
# CLUSTER 4 #
#############

attribute prevalence  =   1161 / 246973 = 0.004701
occurrence prevalence =  13447 / 928097 = 0.014489

                                  attribute  frequency  prevalence
                   university of pittsburgh       1174    0.001265
            university of missouri–columbia       1015    0.001094
                  university of connecticut        826    0.000890
                            ohio university        824    0.000888
                        american university        803    0.000865
                    university of tennessee        715    0.000770
                         clemson university        698    0.000752
                   university of notre dame        676    0.000728
              western washington university        649    0.000699
                     university of kentucky        648    0.000698
                    kansas state university        620    0.000668
    university of maryland baltimore county        573    0.000617
                college of william and mary        554    0.000597
                          tulane university        452    0.000487
                university of san francisco        337    0.000363
                      university of vermont        329    0.000354
                            pratt institute        321    0.000346
 university of north carolina at greensboro        308    0.000332
                  the ohio state university        256    0.000276
                           skidmore college        160    0.000172
            elizabeth city state university         16    0.000017
                     romeoville high school         11    0.000012
                     bellingham high school          9    0.000010
                         brewer high school          8    0.000009
                   charleston school of law          8    0.000009
                         brazosport college          7    0.000008
                           loyola marymount          7    0.000008
                     nazarene bible college          6    0.000006
              nazarene theological seminary          6    0.000006
               new smyrna beach high school          6    0.000006
                         peru state college          6    0.000006
               porter and chester institute          6    0.000006
                     royal academy of music          6    0.000006
                        the creative center          6    0.000006
  art institute of california san francisco          5    0.000005
             governor's school for the arts          5    0.000005
                            sheldon college          5    0.000005
                        stark state college          5    0.000005
                                valencia cc          5    0.000005
                         antioch university          4    0.000004
                         colony high school          4    0.000004
                    east coweta high school          4    0.000004
                                   edgewood          4    0.000004
                      frankfort high school          4    0.000004
                glen oaks community college          4    0.000004
                  hillyard technical center          4    0.000004
             irene's myomassology institute          4    0.000004
                    lancaster bible college          4    0.000004
         medical university of the americas          4    0.000004
                                       miad          4    0.000004


###############
# CLUSTER 110 #
###############

attribute prevalence  =   1344 / 246973 = 0.005442
occurrence prevalence =  12971 / 928097 = 0.013976

                                attribute  frequency  prevalence
 national autonomous university of mexico        449    0.000484
                universidad de costa rica        306    0.000330
                university of santo tomas        256    0.000276
       universidad autónoma de nuevo león        248    0.000267
          universidad del valle de méxico        235    0.000253
               universidad de guadalajara        196    0.000211
                                      utn        178    0.000192
         universidad central de venezuela        175    0.000189
               universidad iberoamericana        163    0.000176
                universidad simón bolívar        138    0.000149
                                      upc        138    0.000149
                                    iteso        125    0.000135
                 universidad de antioquia        125    0.000135
                  universidad veracruzana        122    0.000131
         universidad tecnológica nacional        121    0.000130
                  universidad de carabobo        119    0.000128
                     universidad la salle        116    0.000125
                                     uabc        115    0.000124
     universitat politècnica de catalunya        115    0.000124
                    ingenieria industrial        108    0.000116
                                     icai        105    0.000113
                       universidad latina        105    0.000113
   pontifical catholic university of peru        104    0.000112
                                    pucmm        103    0.000111
                                     uade        103    0.000111
  universidad nacional autónoma de méxico         97    0.000105
      universidad argentina de la empresa         95    0.000102
               universidad de la frontera         91    0.000098
                    universidad del valle         90    0.000097
                                    espol         84    0.000091
               university of buenos aires         83    0.000089
                 universidad panamericana         80    0.000086
                   universidad de oriente         76    0.000082
         universidad latina de costa rica         76    0.000082
                    universidad de sonora         72    0.000078
                     university of deusto         72    0.000078
                    universidad del zulia         71    0.000077
          universidad del norte, colombia         70    0.000075
                universidad metropolitana         68    0.000073
                 universitat pompeu fabra         68    0.000073
                                     itba         67    0.000072
  universidad autonoma de baja california         66    0.000071
               universidad de el salvador         66    0.000071
                 universidad del salvador         66    0.000071
                                      ort         63    0.000068
                                      uca         63    0.000068
                          universidad ort         63    0.000068
         universidad tecnologica nacional         62    0.000067
                                     itla         61    0.000066
                      universidad galileo         61    0.000066


##############
# CLUSTER 47 #
##############

attribute prevalence  =    715 / 246973 = 0.002895
occurrence prevalence =  12719 / 928097 = 0.013704

                                 attribute  frequency  prevalence
                  brigham young university       1645    0.001772
                     university of arizona       1271    0.001369
                     iowa state university        935    0.001007
                   oregon state university        852    0.000918
                    university of oklahoma        842    0.000907
                    stony brook university        734    0.000791
                 illinois state university        532    0.000573
                           york university        490    0.000528
                     school of hard knocks        374    0.000403
               the university of hong kong        361    0.000389
                                  stanford        348    0.000375
           chinese university of hong kong        299    0.000322
                            north carolina        293    0.000316
                          williams college        245    0.000264
        university of southern mississippi        200    0.000215
              sam houston state university        189    0.000204
                          biola university        184    0.000198
           university of western australia        172    0.000185
                        macalester college        156    0.000168
                 oxford brookes university        144    0.000155
     bloomsburg university of pennsylvania         98    0.000106
   shippensburg university of pennsylvania         92    0.000099
            anne arundel community college         91    0.000098
                  tisch school of the arts         89    0.000096
                       capilano university         85    0.000092
            university of houston–downtown         79    0.000085
                baylor college of medicine         78    0.000084
