################
# CLUSTER 12.0 #
################

attribute prevalence  =   5191 / 555819 = 0.009339
           ingeniero en sistemas         68    0.000108
 higher education administration         66    0.000105
 master of computer applications         66    0.000105
            media communications         66    0.000105
     computer information system         65    0.000104
               game art & design         65    0.000104


################
# CLUSTER 47.0 #
################

attribute prevalence  =   4934 / 555819 = 0.008877
occurrence prevalence =  23691 / 626862 = 0.037793

                             attribute  frequency  prevalence
                                   art        732    0.001168
                 international studies        529    0.000844
                   mass communications        434    0.000692
                   secondary education        416    0.000664
                                   cis        413    0.000659
                          microbiology        388    0.000619
                   computer networking        351    0.000560
                          juris doctor        301    0.000480
                             undecided        298    0.000475
                  visual communication        256    0.000408
             ingeniería en informática        251    0.000400
               informatics engineering        173    0.000276
                      biblical studies        165    0.000263
      università degli studi di milano        157    0.000250
                            hs diploma        152    0.000242
       computer information technology        147    0.000235
                             gymnasium        142    0.000227
                            everything        132    0.000211
    masters in business administration        129    0.000206
                               turismo        125    0.000199
                toegepaste informatica        113    0.000180
                 ingeniero de sistemas        112    0.000179
              electrical & electronics         97    0.000155
                         ing. sistemas         96    0.000153
                                 dance         92    0.000147
                production engineering         89    0.000142
                                   mfa         87    0.000139
 electrical and electronic engineering         86    0.000137
              ingeniero en informática         85    0.000136
                biological engineering         83    0.000132
                          kindergarten         83    0.000132
                             optometry         83    0.000132
     communication & multimedia design         82    0.000131
                        science stream         81    0.000129
                           real estate         78    0.000124
                    doctor of medicine         77    0.000123
             bs mechanical engineering         72    0.000115
                                 miage         71    0.000113
                            ragioneria         70    0.000112
     mechanical engineering technology         69    0.000110
             ms electrical engineering         68    0.000108
                master of architecture         66    0.000105
                 technische informatik         62    0.000099
                  aeronautical science         61    0.000097
                   be computer science         61    0.000097
                 graphic communication         61    0.000097
                         psychobiology         61    0.000097
                communications studies         59    0.000094
                  kommunikationsdesign         59    0.000094
                                  pcmc         58    0.000093


################
# CLUSTER 31.0 #
################

attribute prevalence  =    723 / 555819 = 0.001301
occurrence prevalence =  18731 / 626862 = 0.029881

                                   attribute  frequency  prevalence
                        computer engineering       6995    0.011159
                      mechanical engineering       6931    0.011057
              management information systems       1092    0.001742
                           computer engineer        329    0.000525
                        computer programming        299    0.000477
                   environmental engineering        281    0.000448
                     bilgisayar mühendisliği        176    0.000281
                 visual communication design        166    0.000265
                                     işletme        155    0.000247
            mathematics and computer science        148    0.000236
             english language and literature         92    0.000147
                                     iktisat         68    0.000108
                    bilgisayar programcılığı         60    0.000096
                         faculty of medicine         57    0.000091
                                         web         57    0.000091
                                   sculpture         55    0.000088
                                   matematik         40    0.000064
                                     öğrenci         40    0.000064
                                        lise         34    0.000054
                               fen bilimleri         33    0.000053
                                     sayısal         33    0.000053
                         makine mühendisliği         32    0.000051
                              medical doctor         32    0.000051
                               kamu yönetimi         31    0.000049
                      uluslararası ilişkiler         31    0.000049
                                12th science         30    0.000048
                       endüstri mühendisliği         30    0.000048
                           foreign languages         27    0.000043
                                       hukuk         26    0.000041
                         textile engineering         25    0.000040
                                       kimya         22    0.000035
                                    biyoloji         21    0.000034
                               tıp fakültesi         20    0.000032
                       bilişim teknolojileri         19    0.000030
                         creative technology         19    0.000030
     bilgisayar teknolojileri ve programlama         18    0.000029
                                  istatistik         17    0.000027
       metallurgical & materials engineering         17    0.000027
 electronics & telecommunication engineering         15    0.000024
                   ingiliz dili ve edebiyatı         14    0.000022
                        jeoloji mühendisliği         14    0.000022
                        community counseling         13    0.000021
                             sosyal bilimler         13    0.000021
                                econometrics         12    0.000019
                           işletme fakültesi         12    0.000019
                                  archeology         11    0.000018
       bilgisayar teknolojisi ve programlama         11    0.000018
                          iletişim fakültesi         11    0.000018
    scienze e tecnologie della comunicazione         11    0.000018
                        işletme mühendisliği         10    0.000016


################
# CLUSTER 16.0 #
################

attribute prevalence  =   6046 / 555819 = 0.010878
occurrence prevalence =  18507 / 626862 = 0.029523

                         attribute  frequency  prevalence
                              film        727    0.001160
               bs computer science        459    0.000732
                                ba        419    0.000668
                              eecs        309    0.000493
                comunicação social        256    0.000408
               ms computer science        255    0.000407
                  american studies        251    0.000400
                        humanities        221    0.000353
                          classics        207    0.000330
                                ms        201    0.000321
                      astrophysics        196    0.000313
               comunicación social        186    0.000297
 electrical & computer engineering        185    0.000295
       masters in computer science        152    0.000242
                 interactive media        129    0.000206
   computer engineering technology        122    0.000195
                          economía        121    0.000193
                interaction design        110    0.000175
                       english lit        109    0.000174
  computer and information science        108    0.000172
                       mba finance        108    0.000172
     computer science, mathematics         94    0.000150
                    marine biology         94    0.000150
        human computer interaction         89    0.000142
        human-computer interaction         88    0.000140
                         b.tech it         87    0.000139
                              bscs         87    0.000139
                  natural sciences         84    0.000134
                              emba         82    0.000131
        master in computer science         82    0.000131
                    social studies         79    0.000126
                 publicidad y rrpp         68    0.000108
