#############
# CLUSTER 3 #
#############

attribute prevalence  =   6437 / 246973 = 0.026064
attribute prevalence  =   7976 / 246973 = 0.032295
occurrence prevalence =  43031 / 928097 = 0.046365

                                         attribute  frequency  prevalence
                    university of nebraska–lincoln        498    0.000537
                   stevens institute of technology        460    0.000496
                         loyola university chicago        459    0.000495
                          berklee college of music        341    0.000367
                          university of queensland        329    0.000354
                                seattle university        291    0.000314
                                  carleton college        263    0.000283
                                swarthmore college        256    0.000276
                           university of sheffield        245    0.000264
                                   wheaton college        229    0.000247
 indiana university-purdue university indianapolis        214    0.000231
                             king's college london        214    0.000231
                                   bentley college        209    0.000225
                                   elon university        202    0.000218
   california state polytechnic university, pomona        196    0.000211
 university college dublin - national universit...        195    0.000210
                                suffolk university        191    0.000206
                     rhode island school of design        186    0.000200
                              university of sussex        181    0.000195
             university of massachusetts dartmouth        179    0.000193
                                gonzaga university        175    0.000189
                 maryland institute college of art        175    0.000189
               university of alabama in huntsville        171    0.000184
                  georgetown university law center        169    0.000182
                montana state university - bozeman        169    0.000182
                         university of east anglia        169    0.000182
                                 champlain college        161    0.000173
                           murray state university        161    0.000173
            school of the art institute of chicago        160    0.000172
                     university of mary washington        160    0.000172
                             university of wyoming        157    0.000169
                        seattle pacific university        156    0.000168
                the catholic university of america        152    0.000164
                                 haverford college        151    0.000163
                    university of texas at el paso        151    0.000163
                university of massachusetts boston        148    0.000159
                                denison university        146    0.000157
                          indiana state university        144    0.000155
                                occidental college        144    0.000155
                                  st. olaf college        144    0.000155
                     city college of san francisco        142    0.000153
                                 furman university        141    0.000152
                university of advancing technology        140    0.000151
              central connecticut state university        137    0.000148
                         saint joseph's university        136    0.000147
                                   whitman college        136    0.000147
                                 dickinson college        130    0.000140
           state university of new york at geneseo        130    0.000140
                      the art institute of seattle        129    0.000139
                stephen f. austin state university        127    0.000137


#############
# CLUSTER 2 #
#############

attribute prevalence  =  14961 / 246973 = 0.060577
occurrence prevalence =  40655 / 928097 = 0.043805

                                         attribute  frequency  prevalence
                                   anna university        737    0.000794
                                university of pune        622    0.000670
                   manipal institute of technology        509    0.000548
                               university of delhi        463    0.000499
                                  amity university        405    0.000436
                                kendriya vidyalaya        378    0.000407
           srm institute of science and technology        376    0.000405
             visvesvaraya technological university        355    0.000383
                     birla institute of technology        309    0.000333
                         psg college of technology        298    0.000321
          nirma university of science & technology        266    0.000287
                                 christ university        236    0.000254
                                               puc        232    0.000250
                                gujarat university        231    0.000249
                           anna university chennai        220    0.000237
                                    vit university        220    0.000237
