#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
                        bilgisayar yazılım bölümü          1    0.000002
            elektronik ve bilgisayar öğretmenliği          1    0.000002
                                            genel          1    0.000002
                                      gsl / resim          1    0.000002
                                  mekatronik (iö)          1    0.000002


#############
# CLUSTER 9 #
#############

attribute prevalence  =     51 / 555819 = 0.000092
occurrence prevalence =   1157 / 626862 = 0.001846

                                         attribute  frequency  prevalence
                                              cntt        205    0.000327
                                           college        205    0.000327
                               công nghệ thông tin        122    0.000195
                                          software        112    0.000179
                                        automation        103    0.000164
                                               fsc         49    0.000078
                               quản trị kinh doanh         41    0.000065
                                internet marketing         35    0.000056
                                             study         26    0.000041
                                          học sinh         25    0.000040
                             infomation technology         25    0.000040
                               software technology         22    0.000035
                                         kiến trúc         17    0.000027
                            business administrator         16    0.000026
                                         ngân hàng         16    0.000026
                                công nghệ phần mềm         14    0.000022
                                          chém gió         12    0.000019
                                         phổ thông         12    0.000019
                                           tin học         12    0.000019
                                         sinh viên         11    0.000018
                                           kinh tế          9    0.000014
                                       chuyên toán          7    0.000011
                                         financial          6    0.000010
                                    điện - điện tử          6    0.000010
                                      luật quốc tế          4    0.000006
                                               tin          4    0.000006
                                            đầu tư          4    0.000006
                              chăn nuôi trồng trọt          3    0.000005
                               cong nghe thong tin          3    0.000005
                                       kinh tế học          3    0.000005
                                              tmdt          3    0.000005
                                              đtvt          3    0.000005
                                              acna          2    0.000003
                                              bsdk          2    0.000003
                                       wind energy          2    0.000003
                                     cn môi trường          1    0.000002
                           cntt - kỹ nghệ phần mềm          1    0.000002
 construction materials engineering and technology          1    0.000002
         công nghệ phần mềm - software engineering          1    0.000002
                                      cầu đường bộ          1    0.000002
   electronic engineering - information technology          1    0.000002
                 eng 4 -  bussiness administration          1    0.000002
                                      hs trung học          1    0.000002
                                              khmt          1    0.000002
                             kiến trúc & quy hoạch          1    0.000002
                                      làm lốp ô-tô          1    0.000002
                  quản trị mạng & bảo mật hệ thống          1    0.000002
                                quản trị tài chính          1    0.000002
                                            rờ đít          1    0.000002
                                       tài chính          1    0.000002


##############
# CLUSTER 38 #
##############

attribute prevalence  =     18 / 555819 = 0.000032
occurrence prevalence =   1089 / 626862 = 0.001737

                        attribute  frequency  prevalence
                  music education        742    0.001184
                       networking        158    0.000252
             associate of science         37    0.000059
                          welding         35    0.000056
                 commercial music         30    0.000048
                technical writing         25    0.000040
                homeland security         17    0.000027
                         not much         12    0.000019
             b.s computer science         10    0.000016
 interactive media and web design          9    0.000014
          marketing / advertising          5    0.000008
      history, east asian studies          2    0.000003
                          thuggin          2    0.000003
        ba writing & film studies          1    0.000002
              chemistry & history          1    0.000002
                general badassery          1    0.000002
            journalism & politics          1    0.000002
                subsea technology          1    0.000002


##############
# CLUSTER 34 #
##############

attribute prevalence  =    260 / 555819 = 0.000468
occurrence prevalence =   1049 / 626862 = 0.001673

                                         attribute  frequency  prevalence
                           physics and mathematics         64    0.000102
                                       информатика         63    0.000101
               информационные системы и технологии         42    0.000067
                            прикладная информатика         35    0.000056
                         информационные технологии         30    0.000048
                                         экономика         23    0.000037
                                             асоиу         21    0.000034
                                      правоведение         21    0.000034
                                      радиотехника         20    0.000032
                                           физ-мат         20    0.000032
                                         филология         18    0.000029
                                бизнес-информатика         15    0.000024
                           master computer science         14    0.000022
                                               вмк         14    0.000022
                             инженер-системотехник         14    0.000022
                  математик, системный программист         14    0.000022
