##############
# CLUSTER 22 #
##############

attribute prevalence  =   1464 / 555819 = 0.002634
                   adminstración de empresas          2    0.000003
          advertising & marketing management          2    0.000003
             b.a. in business administration          2    0.000003
                        b.sc in neuroscience          2    0.000003
                    ba, government & history          2    0.000003
                                 ba: theatre          2    0.000003
                     betriebwirtschaftslehre          2    0.000003
        biblioteks- og informationsvidenskab          2    0.000003
                  bsc information management          2    0.000003
                                         chi          2    0.000003
                           chicana/o studies          2    0.000003
                                  cisco ccnp          2    0.000003
                            classic culinary          2    0.000003
                       clinical lab sciences          2    0.000003
 computer networking and security technology          2    0.000003
                                     dancing          2    0.000003
                                dessin animé          2    0.000003
                                     el-tele          2    0.000003
  electronics & telcommunication engineering          2    0.000003
                          elektroniktekniker          2    0.000003
                            english- writing          2    0.000003
                          film media studies          2    0.000003


#############
# CLUSTER 4 #
#############

attribute prevalence  =   5447 / 555819 = 0.009800
occurrence prevalence =  25131 / 626862 = 0.040090

                                  attribute  frequency  prevalence
                             bioinformatics        264    0.000421
                       visual communication        256    0.000408
                                        msc        168    0.000268
                                     matric        164    0.000262
                                       bcom        162    0.000258
                      computer applications        146    0.000233
                                       b.sc        121    0.000193
                                   plus two        114    0.000182
                                      m.p.c        110    0.000175
                                        bbm        102    0.000163
 electronics and communications engineering        100    0.000160
                        operations research         94    0.000150
                                    b.tech.         93    0.000148
                                         ec         91    0.000145
                                  aerospace         88    0.000140
                     bachelor of technology         87    0.000139
                           hotel management         84    0.000134
                    b.tech computer science         83    0.000132
                               kindergarten         83    0.000132
                       computer application         82    0.000131
                                      mtech         81    0.000129
                             science stream         81    0.000129
                             civil engineer         80    0.000128
                                        all         78    0.000124
                            instrumentation         77    0.000123
                         mining engineering         77    0.000123
                                     degree         74    0.000118
                                        i.t         72    0.000115
                                non medical         72    0.000115
                        finance & marketing         70    0.000112
                                       i.t.         68    0.000108
                                         pu         68    0.000108
                                        bcs         67    0.000107
                                     be cse         66    0.000105
                                         hr         66    0.000105
      industrial engineering and management         66    0.000105
            master of computer applications         66    0.000105
                                        bms         65    0.000104
              electronics & instrumentation         65    0.000104
               electronics & communications         63    0.000101
                        be computer science         61    0.000097
                                      major         61    0.000097
                                        e&c         60    0.000096
                      finance and marketing         60    0.000096
                                non-medical         60    0.000096
                              chemical engg         59    0.000094
           material science and engineering         59    0.000094
                           microelectronics         59    0.000094
                                 b.tech ece         58    0.000093
                                      m.b.a         58    0.000093


#############
# CLUSTER 2 #
#############

attribute prevalence  =   1354 / 555819 = 0.002436
occurrence prevalence =  24054 / 626862 = 0.038372

                            attribute  frequency  prevalence
               mechanical engineering       6931    0.011057
                            economics       5685    0.009069
                              physics       3348    0.005341
                            chemistry       2174    0.003468
                             medicine       2031    0.003240
               biomedical engineering       1368    0.002182
                       bioengineering        486    0.000775
                                 cntt        205    0.000327
                  công nghệ thông tin        122    0.000195
                                  fsc         49    0.000078
                                study         26    0.000041
                             học sinh         25    0.000040
                infomation technology         25    0.000040
                  software technology         22    0.000035
               business administrator         16    0.000026
                            ngân hàng         16    0.000026
                            phổ thông         12    0.000019
                              tin học         12    0.000019
                            sinh viên         11    0.000018
                              kinh tế          9    0.000014
                          chuyên toán          7    0.000011
                            financial          6    0.000010
          information systems science          6    0.000010
                       điện - điện tử          6    0.000010
                              소프트웨어공학          5    0.000008
                                 asoi          4    0.000006
                          budownictwo          4    0.000006
 economics and international business          4    0.000006
                      helse og sosial          4    0.000006
                         luật quốc tế          4    0.000006
                               đầu tư          4    0.000006
                                   경영          4    0.000006
         bsc in computer applications          3    0.000005
                    ingilizce işletme          3    0.000005
                          kinh tế học          3    0.000005
            msc financial engineering          3    0.000005
               multimedia application          3    0.000005
                                 poit          3    0.000005
                                  taf          3    0.000005
             technische bestuurskunde          3    0.000005
                           tiếng pháp          3    0.000005
                                 tmdt          3    0.000005
                turystyka i rekreacja          3    0.000005
                          építőmérnök          3    0.000005
                                 đtvt          3    0.000005
                 стопански мениджмънт          3    0.000005
                             计算机应用与维护          3    0.000005
                                 acna          2    0.000003
    advanced manufacturing technology          2    0.000003
                               allmän          2    0.000003


##############
# CLUSTER 19 #
##############

attribute prevalence  =    907 / 555819 = 0.001632
occurrence prevalence =  20089 / 626862 = 0.032047

                        attribute  frequency  prevalence
                     architecture       2287    0.003648
                          general       1467    0.002340
            aerospace engineering       1189    0.001897
                     biochemistry       1136    0.001812
              high school diploma        694    0.001107
                    digital media        542    0.000865
                        geography        529    0.000844
                     illustration        489    0.000780
                             life        437    0.000697
                        computing        386    0.000616
               mass communication        352    0.000562
                         politics        320    0.000510
               business economics        318    0.000507
                    media studies        310    0.000495
                        undecided        298    0.000475
                    public health        297    0.000474
                  film production        294    0.000469
                        dentistry        281    0.000448
                              n/a        252    0.000402
                            maths        251    0.000400
                             havo        244    0.000389
                computing science        237    0.000378
                software engineer        224    0.000357
                molecular biology        209    0.000333
                      cosmetology        185    0.000295
                 bachelor of arts        181    0.000289
                actuarial science        164    0.000262
                music composition        160    0.000255
                   social science        154    0.000246
           network administration        153    0.000244
                       hs diploma        152    0.000242
  business information technology        136    0.000217
                  pre-engineering        135    0.000215
                       general ed        132    0.000211
                interactive media        129    0.000206
   molecular and cellular biology        125    0.000199
                           gcse's        124    0.000198
           accounting and finance        123    0.000196
 computer science and mathematics        122    0.000195
               biomedical science        121    0.000193
                   health science        119    0.000190
         interactive media design        110    0.000175
           bs in computer science        106    0.000169
        architectural engineering        104    0.000166
               doctor of pharmacy        102    0.000163
             accounting & finance         99    0.000158
           ms in computer science         95    0.000152
                         comp sci         94    0.000150
                 print journalism         93    0.000148
                       geophysics         89    0.000142


##############
# CLUSTER 49 #
##############

attribute prevalence  =   3043 / 555819 = 0.005475
occurrence prevalence =  17495 / 626862 = 0.027909

                         attribute  frequency  prevalence
                       social work        490    0.000782
                               cis        413    0.000659
                          a levels        242    0.000386
                   web development        228    0.000364
                       game design        226    0.000361
                              gcse        216    0.000345
      business information systems        215    0.000343
               computer technology        215    0.000343
                               vwo        200    0.000319
                            german        198    0.000316
                      broadcasting        194    0.000309
                             media        185    0.000295
                         new media        182    0.000290
                               bfa        174    0.000278
                          a-levels        163    0.000260
   computer information technology        147    0.000235
                              bsee        144    0.000230
                             gcses        139    0.000222
                       archaeology        121    0.000193
            toegepaste informatica        113    0.000180
                  business studies        112    0.000179
                    digital design        108    0.000172
                               mpa        100    0.000160
                        physiology         93    0.000148
                           telecom         92    0.000147
                         nutrition         89    0.000142
                               mfa         87    0.000139
