##############
# CLUSTER 43 #
##############

attribute prevalence  =   1146 / 110100 = 0.010409
                                  apprenticeship          2    0.000003
                             b.a. in photography          2    0.000003
                            b.sc in neuroscience          2    0.000003
                   b.tech-information technology          2    0.000003
       business and computer information systems          2    0.000003
                            business/engineering          2    0.000003
                                   class of 2006          2    0.000003
                                 doctoral thesis          2    0.000003
                               gcse's / a levels          2    0.000003
                              good enough degree          2    0.000003
                                            gphy          2    0.000003
                             history/archaeology          2    0.000003
                      m.sc. chemical engineering          2    0.000003
 masinski tehnicar za kompjutersko konstruisanje          2    0.000003
                             master of chemistry          2    0.000003
        master of commerce (information systems)          2    0.000003
                    master of fashion technology          2    0.000003
                                     mba courses          2    0.000003
                                       mech engr          2    0.000003


##############
# CLUSTER 55 #
##############

attribute prevalence  =   1240 / 110100 = 0.011262
occurrence prevalence =  10969 / 626862 = 0.017498

                                     attribute  frequency  prevalence
                                design gráfico        301    0.000480
                      engenharia de computação        273    0.000436
                        ciências da computação        269    0.000429
                                      economia        268    0.000428
                            comunicação social        256    0.000408
                           engenharia elétrica        219    0.000349
                      engenharia da computação        206    0.000329
                       arquitetura e urbanismo        192    0.000306
                                        letras        167    0.000266
                              engenharia civil        165    0.000263
               comunicação social - jornalismo        164    0.000262
                               social sciences        160    0.000255
                     administração de empresas        150    0.000239
 comunicação social - publicidade e propaganda        143    0.000228
                                     graduação        129    0.000206
                                      mestrado        129    0.000206
                                   publicidade        126    0.000201
                                       turismo        125    0.000199
                        processamento de dados        123    0.000196
                           engenharia mecânica        118    0.000188
                           análise de sistemas        110    0.000175
                                           ist        104    0.000166
         analise e desenvolvimento de sistemas        102    0.000163
                        sistemas para internet        101    0.000161
                           ciências biológicas         99    0.000158
                                      história         98    0.000156
                         redes de computadores         97    0.000155
                                      biologia         94    0.000150
                         sistema de informação         93    0.000148
                                       química         92    0.000147


#############
# CLUSTER 8 #
#############

attribute prevalence  =   3719 / 110100 = 0.033778
occurrence prevalence =  10558 / 626862 = 0.016843

                                attribute  frequency  prevalence
                             informatique       1198    0.001911
        master of business administration        266    0.000424
                         dut informatique        144    0.000230
                                 sciences        127    0.000203
                  informatique de gestion        121    0.000193
                              psychologie        108    0.000172
                            mba marketing        104    0.000166
                                    droit         95    0.000152
                                    bac s         93    0.000148
                             scientifique         91    0.000145
              bts informatique de gestion         89    0.000142
                                        s         85    0.000136
                       génie informatique         74    0.000118
                                    miage         71    0.000113
                               multimédia         69    0.000110
                  international marketing         66    0.000105
     services et réseaux de communication         63    0.000101
                           génie logiciel         61    0.000097
                                  dut src         60    0.000096
                              infographie         57    0.000091
                                      web         57    0.000091
                                 economie         56    0.000089
 dut services et réseaux de communication         54    0.000086
                                 histoire         50    0.000080
                             electronique         49    0.000078
                  marketing communication         47    0.000075
                                       mp         47    0.000075
           mathematics & computer science         46    0.000073
                                 bts iris         44    0.000070
                                    lycée         44    0.000070


##############
# CLUSTER 31 #
##############

attribute prevalence  =   1981 / 110100 = 0.017993
occurrence prevalence =   9827 / 626862 = 0.015676

                                    attribute  frequency  prevalence
                                          mis        892    0.001423
                          applied mathematics        433    0.000691
                                        資訊管理系        303    0.000483
                       information management        286    0.000456
                                         資訊管理        241    0.000384
                                         資訊工程        238    0.000380
                                       資訊工程學系        191    0.000305
                                        資訊工程系        184    0.000294
                                       資訊管理學系        166    0.000265
                                      chinese        152    0.000242
                                         csie        120    0.000191
 computer science and information engineering         94    0.000150
                                          資訊科         84    0.000134
                                        電子工程系         84    0.000134
                                        資訊工程所         81    0.000129
                       educational technology         77    0.000123
                                        資料處理科         65    0.000104
                                           資管         61    0.000097
                                 life science         59    0.000094
                                          電機系         59    0.000094
                                       電機工程學系         58    0.000093
                                          資管系         57    0.000091
                                      資訊工程研究所         50    0.000080
                                          電子科         49    0.000078
                                         電子工程         47    0.000075
                                        資訊科學系         45    0.000072
                                        資訊管理所         45    0.000072
                                         企業管理         43    0.000069
                                      資訊管理研究所         43    0.000069
                     communication management         41    0.000065


##############
# CLUSTER 39 #
##############

attribute prevalence  =    859 / 110100 = 0.007802
occurrence prevalence =   9506 / 626862 = 0.015164

                                  attribute  frequency  prevalence
                                  marketing       4950    0.007896
                                    finance       3614    0.005765
                         droit des affaires          6    0.000010
                  elektriciteit-elektronica          4    0.000006
                                 történelem          4    0.000006
             bacharel em ciências contábeis          3    0.000005
            business and management studies          3    0.000005
            communicatie & multimediadesign          3    0.000005
                          culturele studies          3    0.000005
                        educacion comercial          3    0.000005
                          electronica - ict          3    0.000005
         engineering information technology          3    0.000005
                          műszaki menedzser          3    0.000005
            technologie de systèmes ordinés          3    0.000005
                                       1995          2    0.000003
                1º e 2º ano do ensino médio          2    0.000003
              accounting information system          2    0.000003
 accounting, finance, technology management          2    0.000003
                                 andragógia          2    0.000003
                       beeldende vormgeving          2    0.000003
                          biowissenschaften          2    0.000003
                              bs, economics          2    0.000003
 business information technology management          2    0.000003
                                      cap 3          2    0.000003
                                 castellano          2    0.000003
                        commercial engineer          2    0.000003
                               communicator          2    0.000003
                                        ctd          2    0.000003
                                  cyber law          2    0.000003
                                        dil          2    0.000003


##############
# CLUSTER 46 #
##############

attribute prevalence  =    905 / 110100 = 0.008220
occurrence prevalence =   9364 / 626862 = 0.014938

                             attribute  frequency  prevalence
                          ensino médio       1533    0.002446
                 ciência da computação       1283    0.002047
                sistemas de informação       1049    0.001673
              publicidade e propaganda        783    0.001249
                               direito        624    0.000995
                            jornalismo        546    0.000871
                    ensino fundamental        539    0.000860
                         administração        473    0.000755
                            web design        291    0.000464
                técnico em informática        278    0.000443
                engenharia informática        216    0.000345
            ensino fundamental e médio        138    0.000220
  bacharelado em ciência da computação        136    0.000217
                          ensino medio        124    0.000198
                    desenho industrial        123    0.000196
                 técnico em eletrônica         71    0.000113
                       ensino superior         54    0.000086
                             geografia         50    0.000080
                            telemática         32    0.000051
                        design grafico         14    0.000022
                 ensino médio completo         14    0.000022
                engenharia metalúrgica          7    0.000011
                         1ª a 4ª série          5    0.000008
                administração empresas          5    0.000008
                 ensino medio completo          5    0.000008
                mba gestão de projetos          5    0.000008
 montagem e manutenção de computadores          5    0.000008
                              2º  grau          4    0.000006
                         5ª a 8ª série          4    0.000006
          artes plásticas e multimédia          4    0.000006


#############
# CLUSTER 2 #
#############

attribute prevalence  =   6471 / 110100 = 0.058774
occurrence prevalence =   9316 / 626862 = 0.014861

                                         attribute  frequency  prevalence
                                   elektrotechniek         18    0.000029
                       elektrotehnik računalništva         18    0.000029
                                            musikk         16    0.000026
                              computer information         15    0.000024
                                      datatekniker         14    0.000022
                       desenvolvimento de software         14    0.000022
                                             musik         13    0.000021
                         administrador de empresas         12    0.000019
                                  image processing         12    0.000019
 informatica e tecnologie per la produzione del...         12    0.000019
                                               政治系         12    0.000019
                                             lærer         10    0.000016
                                          mechanic         10    0.000016
                            scientific programming         10    0.000016
                                            ballet          9    0.000014
                          city & regional planning          9    0.000014
                               engenharia mecanica          9    0.000014
                       grafische en digitale media          9    0.000014
                                      informatiker          9    0.000014
                                           pittura          9    0.000014
                                          primària          9    0.000014
                                    villamosmérnök          9    0.000014
                analista programador universitario          8    0.000013
         computational mathematics and cybernetics          8    0.000013
                         computer network security          8    0.000013
                             electronic technician          8    0.000013
                               facoltà di farmacia          8    0.000013
                              faculty of dentistry          8    0.000013
                          informacione tehnologije          8    0.000013
                             informatica applicata          8    0.000013


##############
# CLUSTER 71 #
##############

attribute prevalence  =    854 / 110100 = 0.007757
occurrence prevalence =   8858 / 626862 = 0.014131

                                   attribute  frequency  prevalence
                         bs computer science        459    0.000732
                           cognitive science        313    0.000499
                                        eecs        309    0.000493
                         ms computer science        255    0.000407
                            american studies        251    0.000400
 electrical engineering and computer science        251    0.000400
                       b.s. computer science        225    0.000359
                                    classics        207    0.000330
                computer systems engineering        204    0.000325
                                          ms        201    0.000321
                                astrophysics        196    0.000313
           electrical & computer engineering        185    0.000295
                                          ca        169    0.000270
                             applied physics        160    0.000255
                 masters in computer science        152    0.000242
                       m.s. computer science        131    0.000209
                     bs computer engineering        120    0.000191
                        msc computer science        120    0.000191
                          interaction design        110    0.000175
                                 english lit        109    0.000174
            computer and information science        108    0.000172
                                 mba finance        108    0.000172
                               art direction        105    0.000168
                                        msee        104    0.000166
          biochemistry and molecular biology         96    0.000153
               computer science, mathematics         94    0.000150
                              marine biology         94    0.000150
                   bs electrical engineering         90    0.000144
           electrical engineering technology         90    0.000144
                  human computer interaction         89    0.000142


#############
# CLUSTER 6 #
#############

attribute prevalence  =    617 / 110100 = 0.005604
occurrence prevalence =   8531 / 626862 = 0.013609

                          attribute  frequency  prevalence
             international business        891    0.001421
                               film        727    0.001160
                          geography        529    0.000844
                         government        458    0.000731
               communication design        337    0.000538
              visual communications        305    0.000487
                            theater        303    0.000483
                           fine art        265    0.000423
                 computer animation        236    0.000376
                     business admin        235    0.000375
                 business marketing        222    0.000354
                         humanities        221    0.000353
                  religious studies        220    0.000351
                 master of divinity        192    0.000306
                       theatre arts        192    0.000306
                   bachelor of arts        181    0.000289
 masters of business administration        177    0.000282
             landscape architecture        145    0.000231
    business information technology        136    0.000217
                     urban planning        132    0.000211
     information systems management        125    0.000199
    computer engineering technology        122    0.000195
                    photojournalism        118    0.000188
                               mlis         94    0.000150
                 bfa graphic design         88    0.000140
                      screenwriting         81    0.000129
                 advertising design         72    0.000115
    master of public administration         69    0.000110
          ms electrical engineering         68    0.000108
                      radio/tv/film         67    0.000107


##############
# CLUSTER 91 #
##############

attribute prevalence  =    914 / 110100 = 0.008302
occurrence prevalence =   8270 / 626862 = 0.013193

                       attribute  frequency  prevalence
                     photography        976    0.001557
            elementary education        745    0.001188
                             art        732    0.001168
             mass communications        434    0.000692
                         spanish        389    0.000621
              mass communication        352    0.000562
                    college prep        343    0.000547
            broadcast journalism        333    0.000531
                        theology        320    0.000510
                    juris doctor        301    0.000480
                 film production        294    0.000469
           public administration        281    0.000448
                          french        278    0.000443
                             n/a        252    0.000402
                    film studies        240    0.000383
 library and information science        236    0.000376
                 library science        227    0.000362
                        religion        222    0.000354
       interdisciplinary studies        153    0.000244
   journalism, political science         31    0.000049
                   verpleegkunde         10    0.000016
                    animation 3d          6    0.000010
    associate of applied science          6    0.000010
               business analysis          6    0.000010
                        hustlin'          6    0.000010
       management with marketing          6    0.000010
          medical administration          6    0.000010
                  business & law          5    0.000008
              business logistics          5    0.000008
                 dance education          5    0.000008


##############
# CLUSTER 51 #
##############
